whaleIDSp,whaleIDNumber,TL,LogTL,VGBm,LogVGBm,MW,LogMW,MR,LogMR,Species,Input,,MW,MR,VGB,Species
bw,202,20.3,1.307496038,11.3,1.053078443,60380.82687,4.780899056,1.23938,0.093204484,Blue Whale,1,,,,,
bw,203,19.9,1.298853076,10.85,1.035429738,54968.51802,4.740114028,1.20598,0.081340106,Blue Whale,1,,,,,
bw,204,21.7,1.336459734,12.65,1.102090526,80596.75216,4.906317541,1.32346,0.12171082,Blue Whale,1,,,,,
bw,205,19,1.278753601,9.93,0.996949248,44379.52793,4.647182678,1.13674,0.055661142,Blue Whale,1,,,,,
bw,206,19.85,1.297760511,10.75,1.031408464,54094.91952,4.733156479,1.19685,0.078039724,Blue Whale,1,,,,,
bw,207,21.4,1.330413773,12.3,1.089905111,75564.90492,4.87832014,1.3,0.113943352,Blue Whale,1,,,,,
bw,208,27.1,1.432969291,18,1.255272505,201153.5757,5.303527757,1.57037,0.19600199,Blue Whale,1,,,,,
bw,209,19.6,1.292256071,10.5,1.021189299,51062.68903,4.708103682,1.1787,0.071403284,Blue Whale,1,,,,,
bw,210,20,1.301029996,10.9,1.037426498,55969.7606,4.747953449,1.20752,0.081894333,Blue Whale,1,,,,,
bw,211,18.9,1.276461804,9.8,0.991226076,43170.87737,4.635190875,1.12548,0.051337782,Blue Whale,1,,,,,
bw,212,20.3,1.307496038,11.2,1.049218023,59846.48338,4.777038636,1.22841,0.089343343,Blue Whale,1,,,,,
bw,213,22.5,1.352182518,13.4,1.127104798,93784.68868,4.972131941,1.36432,0.134916246,Blue Whale,1,,,,,
bw,214,20.4,1.309630167,11.3,1.053078443,61176.86869,4.786587244,1.23524,0.091751347,Blue Whale,1,,,,,
bw,215,20.8,1.318063335,11.66,1.06669855,66464.78244,4.822591588,1.25759,0.099539075,Blue Whale,1,,,,,
